,pickup_datetime,dateandhour,trip_miles,trip_time,trip_minutes,base_passenger_fare,driver_pay,hour,temp,precipitation,tips
2086759,2022-04-08 00:21:45-04:00,2022-04-08 00,7.54,1359,22.65,39.64,37.37,0,51.9,5.3,0.0
1589525,2022-04-06 23:47:37-04:00,2022-04-06 23,1.69,393,6.55,8.27,6.68,23,48.7,0.0,1.0
2386363,2022-04-08 18:41:26-04:00,2022-04-08 18,2.82,944,15.733333333333333,14.85,25.58,18,56.9,0.0,0.0
313898,2022-04-03 17:30:52-04:00,2022-04-03 17,5.13,796,13.266666666666667,18.22,15.68,17,46.7,0.0,0.0
1524065,2022-04-06 20:48:00-04:00,2022-04-06 20,1.5,413,6.883333333333334,8.95,5.62,20,50.0,0.0,1.0
2828733,2022-04-09 16:24:06-04:00,2022-04-09 16,2.09,701,11.683333333333334,12.27,9.08,16,54.0,0.1,0.0
798353,2022-04-05 00:44:59-04:00,2022-04-05 00,1.07,427,7.116666666666666,9.81,6.56,0,44.0,0.0,0.0
1313523,2022-04-06 10:17:17-04:00,2022-04-06 10,0.87,580,9.666666666666666,9.48,11.97,10,49.9,0.4,5.0
1515742,2022-04-06 20:45:32-04:00,2022-04-06 20,1.86,358,5.966666666666667,9.11,6.38,20,50.0,0.0,0.0
2971276,2022-04-09 21:02:10-04:00,2022-04-09 21,4.7,631,10.516666666666667,16.08,11.79,21,49.6,0.0,0.0
1792186,2022-04-07 13:13:04-04:00,2022-04-07 13,0.88,780,13.0,14.61,11.05,13,48.8,0.1,0.0
1257827,2022-04-06 08:25:47-04:00,2022-04-06 08,0.62,452,7.533333333333333,10.75,6.39,8,48.1,1.8,0.0
1533293,2022-04-06 20:02:11-04:00,2022-04-06 20,0.83,193,3.216666666666667,8.27,6.15,20,50.0,0.0,0.0
247935,2022-04-03 14:10:47-04:00,2022-04-03 14,1.27,444,7.4,8.27,8.35,14,44.4,0.3,0.0
2851668,2022-04-09 17:01:10-04:00,2022-04-09 17,2.63,854,14.233333333333333,16.39,10.58,17,52.2,0.0,0.0
1761759,2022-04-07 12:35:41-04:00,2022-04-07 12,5.7,1634,27.233333333333334,25.0,22.48,12,48.3,0.2,0.0
2570925,2022-04-09 00:25:04-04:00,2022-04-09 00,3.52,901,15.016666666666667,16.07,20.0,0,50.8,0.0,4.2
659562,2022-04-04 16:41:10-04:00,2022-04-04 16,3.96,1505,25.083333333333332,20.37,18.6,16,52.6,0.0,0.0
1954821,2022-04-07 19:51:51-04:00,2022-04-07 19,1.58,632,10.533333333333333,21.0,18.41,19,51.4,1.8,3.93
1668253,2022-04-07 08:23:26-04:00,2022-04-07 08,1.85,618,10.3,14.58,7.6,8,47.2,0.0,0.0
1289002,2022-04-06 09:09:45-04:00,2022-04-06 09,4.83,1699,28.316666666666666,46.57,27.95,9,48.4,0.5,0.0
427694,2022-04-03 23:15:42-04:00,2022-04-03 23,1.53,428,7.133333333333334,10.51,5.67,23,41.5,0.0,0.0
2065572,2022-04-07 23:37:59-04:00,2022-04-07 23,3.94,1234,20.566666666666666,24.54,15.92,23,52.6,5.7,3.57
1650863,2022-04-07 07:24:24-04:00,2022-04-07 07,6.04,2246,37.43333333333333,41.09,26.82,7,46.8,0.0,0.0
389922,2022-04-03 21:41:23-04:00,2022-04-03 21,3.8,593,9.883333333333333,11.27,9.64,21,43.0,0.0,0.0
2113819,2022-04-08 03:03:30-04:00,2022-04-08 03,2.44,613,10.216666666666667,14.59,9.3,3,50.9,0.0,0.0
2447937,2022-04-08 20:27:54-04:00,2022-04-08 20,2.13,729,12.15,15.87,11.88,20,54.5,0.0,0.0
905852,2022-04-05 10:47:23-04:00,2022-04-05 10,2.67,985,16.416666666666668,17.97,12.55,10,49.9,0.0,2.28
760651,2022-04-04 21:39:26-04:00,2022-04-04 21,4.41,1248,20.8,23.55,17.32,21,48.9,0.0,0.0
2172729,2022-04-08 08:05:47-04:00,2022-04-08 08,4.2,1579,26.316666666666666,28.25,20.3,8,50.7,0.0,0.0
760097,2022-04-04 21:17:21-04:00,2022-04-04 21,6.01,1097,18.283333333333335,23.29,16.87,21,48.9,0.0,0.0
2734300,2022-04-09 11:33:01-04:00,2022-04-09 11,1.53,738,12.3,11.95,9.88,11,51.4,0.2,0.0
2671152,2022-04-09 08:42:58-04:00,2022-04-09 08,1.52,623,10.383333333333333,9.49,7.58,8,48.4,0.6,0.0
856853,2022-04-05 08:50:08-04:00,2022-04-05 08,2.35,1371,22.85,50.95,36.22,8,44.4,0.0,11.95
2722862,2022-04-09 11:12:15-04:00,2022-04-09 11,2.26,875,14.583333333333334,14.6,10.43,11,51.4,0.2,0.0
2183177,2022-04-08 08:27:05-04:00,2022-04-08 08,1.24,352,5.866666666666666,7.91,5.4,8,50.7,0.0,0.0
871692,2022-04-05 08:39:40-04:00,2022-04-05 08,14.68,1984,33.06666666666667,51.32,43.61,8,44.4,0.0,0.0
2749814,2022-04-09 12:33:50-04:00,2022-04-09 12,1.45,426,7.1,12.6,11.44,12,51.5,0.2,0.0
2620787,2022-04-09 03:32:20-04:00,2022-04-09 03,1.25,493,8.216666666666667,23.64,12.37,3,49.4,0.1,0.0
1875900,2022-04-07 16:41:35-04:00,2022-04-07 16,9.44,3189,53.15,37.51,39.08,16,50.6,2.9,5.0
1510715,2022-04-06 19:38:22-04:00,2022-04-06 19,5.32,950,15.833333333333334,19.89,15.46,19,50.3,0.0,2.22
1980099,2022-04-07 20:12:56-04:00,2022-04-07 20,1.89,740,12.333333333333334,13.72,8.73,20,52.0,2.9,0.0
1021748,2022-04-05 16:49:38-04:00,2022-04-05 16,1.97,717,11.95,-1.6,9.21,16,50.9,0.0,0.0
1822305,2022-04-07 14:58:02-04:00,2022-04-07 14,3.21,1659,27.65,38.39,22.96,14,49.5,1.7,4.57
2718813,2022-04-09 11:57:50-04:00,2022-04-09 11,4.29,1034,17.233333333333334,19.67,14.1,11,51.4,0.2,0.0
1918678,2022-04-07 18:47:05-04:00,2022-04-07 18,0.56,369,6.15,10.52,9.13,18,51.2,0.9,0.0
1051801,2022-04-05 18:55:08-04:00,2022-04-05 18,7.8,1298,21.633333333333333,39.46,34.38,18,49.4,0.0,0.0
1373928,2022-04-06 13:24:15-04:00,2022-04-06 13,1.92,588,9.8,13.49,8.21,13,51.2,0.0,0.0
142367,2022-04-03 09:15:49-04:00,2022-04-03 09,3.4,496,8.266666666666667,12.53,8.32,9,45.1,1.2,0.0
1291962,2022-04-06 09:53:17-04:00,2022-04-06 09,3.83,879,14.65,-2.75,18.27,9,48.4,0.5,2.0
1556027,2022-04-06 21:13:02-04:00,2022-04-06 21,0.54,273,4.55,8.14,6.81,21,49.8,0.0,0.0
1903356,2022-04-07 17:20:20-04:00,2022-04-07 17,8.7,2140,35.666666666666664,47.37,34.48,17,51.3,1.5,0.0
1299925,2022-04-06 10:28:33-04:00,2022-04-06 10,9.32,1220,20.333333333333332,28.31,23.46,10,49.9,0.4,0.0
581294,2022-04-04 12:19:47-04:00,2022-04-04 12,13.27,1723,28.716666666666665,51.27,37.07,12,51.1,0.0,0.0
1188741,2022-04-06 03:27:48-04:00,2022-04-06 03,1.32,689,11.483333333333333,7.95,8.19,3,46.4,1.3,0.0
1284366,2022-04-06 09:16:12-04:00,2022-04-06 09,3.03,1253,20.883333333333333,21.29,18.24,9,48.4,0.5,0.0
2781766,2022-04-09 14:04:38-04:00,2022-04-09 14,0.79,274,4.566666666666666,7.76,9.75,14,53.2,0.0,0.0
2344951,2022-04-08 16:45:39-04:00,2022-04-08 16,1.79,970,16.166666666666668,14.13,11.44,16,60.2,0.0,0.0
